title,description
Inception,"dreams subconscious sci-fi action mind bending"
Interstellar,"space sci-fi future astronauts universe"
The Dark Knight,"batman joker crime action hero"
Avengers Endgame,"marvel superheroes action sci-fi battle"
Titanic,"romance ship love tragedy"
The Notebook,"romantic love drama relationship"
Superbad,"comedy friendship school funny"
The Hangover,"comedy friends trip funny chaos"
Coco,"animation music family emotional"
Toy Story,"animation toys friendship adventure"
